,1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,Id,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofMatl,RoofStyle,SaleCondition,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold
1379,754,640,0,None,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Gd,384.0,Y,Norm,Norm,,0,TA,TA,VinylSd,VinylSd,None,None,0,PConc,2,Typ,400.0,2.0,TA,Fin,TA,BuiltIn,-2005.0,1394,0,GasA,Gd,SLvl,1380,0,Gd,Lvl,Gtl,9735,Inside,73.0,Reg,0,80,RL,0.0,None,None,0,5,Timber,0,5,5,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,7,384.0,AllPub,100,2006,2007,2008
1555,725,499,0,None,3,1Fam,Fa,No,0.0,0.0,Unf,Unf,0.0,0.0,Gd,689.0,N,Norm,Norm,SBrkr,248,TA,TA,Wd Sdng,Wd Sdng,None,None,0,BrkTil,0,Mod,180.0,0.0,Fa,Unf,Fa,Detchd,0.0,1224,0,GasA,Gd,1.5Fin,1556,0,,Lvl,Gtl,10632,Inside,72.0,IR1,0,50,RL,0.0,None,None,0,0,ClearCr,0,3,5,N,0,None,CompShg,Gable,Normal,COD,0,Pave,6,689.0,AllPub,0,1917,1950,2010
1915,810,0,0,None,0,1Fam,None,None,0.0,0.0,None,None,0.0,0.0,None,0.0,N,Norm,Norm,FuseA,0,Fa,Fa,Wd Sdng,Wd Sdng,None,None,0,CBlock,0,Min1,280.0,0.0,TA,Unf,TA,Detchd,-1845.0,810,0,GasA,TA,1Story,1916,0,TA,Lvl,Gtl,21780,Inside,109.0,Reg,0,30,RL,0.0,None,None,0,3,IDOTRR,24,4,2,N,0,None,CompShg,Gable,Normal,ConLD,0,Grvl,4,0.0,,119,1910,1950,2009
1945,1474,0,0,None,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,1632.0,Y,Feedr,Norm,FuseA,144,TA,TA,BrkFace,BrkFace,None,Gd,2,CBlock,0,Min2,495.0,2.0,TA,Unf,TA,Attchd,0.0,1474,0,GasA,TA,1Story,1946,0,TA,Bnk,Gtl,31220,FR2,72.9,IR1,0,20,RL,0.0,None,Shed,750,5,Gilbert,0,2,6,Y,0,None,CompShg,Hip,Normal,WD,0,Pave,7,1632.0,,0,1952,1952,2008
2120,896,0,0,None,2,1Fam,None,None,,,None,None,,,None,,Y,Feedr,Norm,FuseA,0,TA,TA,MetalSd,CBlock,MnPrv,None,0,PConc,0,Typ,280.0,0.0,TA,Unf,TA,Detchd,0.0,896,0,GasA,TA,1Story,2121,0,TA,Lvl,Gtl,5940,FR3,99.0,IR1,0,20,RM,0.0,None,None,0,4,BrkSide,0,7,4,Y,0,None,CompShg,Gable,Abnorml,ConLD,0,Pave,4,,AllPub,0,1946,1950,2008
2151,1518,0,0,None,2,1Fam,TA,Gd,1035.0,0.0,ALQ,Unf,0.0,0.0,TA,545.0,Y,Norm,Norm,SBrkr,0,TA,TA,,,None,Gd,2,PConc,0,Typ,0.0,0.0,None,None,None,None,0.0,1518,0,GasA,Ex,1Story,2152,0,Fa,Lvl,Gtl,19550,Inside,85.0,Reg,0,30,RL,0.0,None,None,0,0,Edwards,39,7,5,Y,0,None,Tar&Grv,Flat,Normal,WD,0,Pave,5,1580.0,AllPub,0,1940,2007,2008
2188,3820,0,0,None,5,1Fam,None,None,0.0,0.0,None,None,,,None,0.0,Y,Norm,Norm,SBrkr,0,TA,TA,Plywood,Plywood,None,Gd,2,Slab,3,Typ,624.0,2.0,TA,Unf,TA,Attchd,0.0,3820,0,GasA,TA,1Story,2189,0,Ex,Lvl,Gtl,47007,Inside,123.0,IR1,0,20,RL,0.0,None,None,0,7,Edwards,372,7,5,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,11,0.0,AllPub,0,1959,1996,2008
2216,733,0,0,None,2,1Fam,None,None,0.0,0.0,None,None,0.0,0.0,None,0.0,N,Norm,Norm,FuseA,0,Po,Fa,AsbShng,VinylSd,None,None,0,Slab,0,,487.0,2.0,Po,Unf,Fa,Attchd,0.0,733,0,Wall,Po,1Story,2217,0,Fa,Low,Mod,14584,Inside,80.0,Reg,0,20,RL,0.0,None,None,0,2,IDOTRR,0,5,0,N,0,None,CompShg,Gable,Abnorml,WD,0,Pave,4,0.0,AllPub,0,1952,1952,2008
2473,866,504,0,Grvl,3,1Fam,Fa,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,771.0,Y,Artery,Norm,SBrkr,0,Fa,Fa,Wd Sdng,Wd Sdng,None,None,0,CBlock,2,,264.0,0.0,Fa,Unf,TA,Detchd,0.0,1484,0,GasA,Fa,1.5Fin,2474,0,TA,Lvl,Gtl,10320,Corner,60.0,Reg,114,50,RM,0.0,None,None,0,9,IDOTRR,211,0,4,N,0,None,CompShg,Gable,Abnorml,COD,84,Pave,6,771.0,AllPub,14,1910,1950,2007
2489,1176,0,0,None,3,1Fam,TA,Mn,190.0,873.0,Rec,BLQ,0.0,0.0,TA,95.0,Y,Feedr,Norm,SBrkr,0,TA,TA,Plywood,Plywood,None,Gd,2,CBlock,0,Typ,303.0,0.0,TA,Unf,TA,Attchd,0.0,1176,0,GasA,TA,1Story,2490,0,TA,Lvl,Gtl,13770,Corner,85.0,Reg,0,20,RL,340.0,BrkFace,None,0,10,Sawyer,0,6,5,Y,0,None,CompShg,Gable,Normal,,0,Pave,6,1158.0,AllPub,0,1958,1998,2007
2576,942,886,0,None,3,1Fam,TA,No,548.0,0.0,ALQ,Unf,0.0,0.0,Gd,311.0,Y,Norm,Norm,SBrkr,212,TA,TA,Wd Sdng,Plywood,MnPrv,None,0,BrkTil,2,Typ,,,None,None,None,Detchd,0.0,1828,0,GasA,Ex,2Story,2577,0,Gd,Lvl,Gtl,9060,Inside,50.0,Reg,0,70,RM,0.0,None,None,0,3,IDOTRR,0,6,5,Y,0,None,CompShg,Gable,Alloca,WD,0,Pave,6,859.0,AllPub,174,1923,1999,2007
